Scenario,controls,covid,year,statistic,value
B.1.1,External,covid,1,mean.abs.bias,4.77632536566868
B.1.1,External,covid,1,abs.mean.bias,0.2663575878124689
B.1.1,External,covid,1,mean.bias,-0.2663575878124689
B.1.1,External,covid,1,sd,5.967657605165341
B.1.1,External,covid,1,rmse,5.967634186383078
B.1.1,External,covid,2,mean.abs.bias,5.142424626803682
B.1.1,External,covid,2,abs.mean.bias,1.6058190602469247
B.1.1,External,covid,2,mean.bias,-1.6058190602469247
B.1.1,External,covid,2,sd,6.395030391520225
B.1.1,External,covid,2,rmse,6.587357264890276
B.1.1,External,covid,3,mean.abs.bias,6.009063291813301
B.1.1,External,covid,3,abs.mean.bias,2.134282219722881
B.1.1,External,covid,3,mean.bias,-2.134282219722881
B.1.1,External,covid,3,sd,7.464313632271709
B.1.1,External,covid,3,rmse,7.7562688606275545
B.1.1,External,covid,4,mean.abs.bias,7.175187899501871
B.1.1,External,covid,4,abs.mean.bias,2.409021487352965
B.1.1,External,covid,4,mean.bias,-2.409021487352965
B.1.1,External,covid,4,sd,8.872755045964182
B.1.1,External,covid,4,rmse,9.185407724646728
B.1.1,External,covid,5,mean.abs.bias,8.444295769606569
B.1.1,External,covid,5,abs.mean.bias,2.5775471806134824
B.1.1,External,covid,5,mean.bias,-2.5775471806134824
B.1.1,External,covid,5,sd,10.439377377127526
B.1.1,External,covid,5,rmse,10.742736536391755
B.1.1,External,nocovid,1,mean.abs.bias,2.127882751365085
B.1.1,External,nocovid,1,abs.mean.bias,0.037326904920898414
B.1.1,External,nocovid,1,mean.bias,-0.037326904920898414
B.1.1,External,nocovid,1,sd,2.671378609963976
B.1.1,External,nocovid,1,rmse,2.668966925281858
B.1.1,External,nocovid,2,mean.abs.bias,3.5464712522751554
B.1.1,External,nocovid,2,abs.mean.bias,0.06221150820149433
B.1.1,External,nocovid,2,mean.bias,-0.06221150820149433
B.1.1,External,nocovid,2,sd,4.452297683273307
B.1.1,External,nocovid,2,rmse,4.448278208803109
B.1.1,External,nocovid,3,mean.abs.bias,4.965059753185209
B.1.1,External,nocovid,3,abs.mean.bias,0.0870961114820982
B.1.1,External,nocovid,3,mean.bias,-0.0870961114820982
B.1.1,External,nocovid,3,sd,6.2332167565826175
B.1.1,External,nocovid,3,rmse,6.2275894923243404
B.1.1,External,nocovid,4,mean.abs.bias,6.383648254095262
B.1.1,External,nocovid,4,abs.mean.bias,0.11198071476269615
B.1.1,External,nocovid,4,mean.bias,-0.11198071476269615
B.1.1,External,nocovid,4,sd,8.014135829891938
B.1.1,External,nocovid,4,rmse,8.006900775845581
B.1.1,External,nocovid,5,mean.abs.bias,7.802236755005331
B.1.1,External,nocovid,5,abs.mean.bias,0.1368653180432998
